"","x"
"1064",6391.1318359375
"1065",39312.12890625
"1066",9302.73828125
"1067",26171.646484375
"1068",11018.873046875
"1069",1691.26000976562
"1070",15280.7412109375
"1071",5540.83642578125
"1072",1682.75793457031
"1073",8208.2470703125
"1074",17445.181640625
"1075",11392.927734375
"1076",7379.0615234375
"1077",3279.99560546875
"1078",767.813903808594
"1079",10466.322265625
"1080",16949.580078125
"1081",3257.99462890625
"1082",5449.744140625
"1083",34555.19921875
"1084",4267.44482421875
"1085",9474.935546875
"1086",10476.83203125
"1087",10662.0224609375
"1088",43884.90234375
"1089",12942.939453125
"1090",7043.0439453125
"1091",15708.2353515625
"1092",62279.4609375
"1093",21945.234375
"1094",1274.81030273438
"1095",130407.25
"1096",58958.22265625
"1097",73028.4296875
"1098",23006.439453125
"1099",57000.82421875
"1100",42124.3359375
"1101",18101.287109375
"1102",40667.7109375
"1103",14292.1865234375
"1104",12227.9384765625
"1105",21094.8515625
"1106",18273.396484375
"1107",90245.7421875
"1108",2651.27905273438
"1109",11204.8759765625
"1110",52643.39453125
"1111",6719.4306640625
"1112",15631.0546875
"1113",97925.7578125
"1114",9746.353515625
"1115",2374.38012695312
"1116",29882.658203125
"1117",40923.7578125
"1118",18644.89453125
"1119",105259.4609375
"1120",19423.845703125
"1121",55432.87890625
"1122",49945
"1123",956.237182617188
"1124",24813.599609375
"1125",28147.193359375
"1126",1221.05712890625
"1127",19536.3125
"1128",10967.4697265625
"1129",9261.841796875
"1130",16216.0712890625
"1131",17849.091796875
"1132",16271.3251953125
"1133",64780.98046875
"1134",38180.484375
"1135",15882.796875
"1136",33934.203125
"1137",43254.2265625
"1138",10241.7197265625
"1139",42565.7265625
"1140",19812.96484375
"1141",25104.86328125
"1142",14481.3701171875
"1143",7263.9677734375
"1144",53958.45703125
"1145",3215.4501953125
"1146",26443.8828125
"1147",19403.947265625
"1148",41400.93359375
"1149",8314.4970703125
"1150",481.949798583984
"1151",5128.494140625
"1152",16228.2314453125
"1153",11109.060546875
"1154",14272.9140625
"1155",2497.5830078125
"1156",33155.90234375
"1157",21127.611328125
"1158",260707.78125
"1159",7978.93701171875
"1160",15985.66015625
"1161",12680.6513671875
"1162",11498.083984375
"1163",3865.59716796875
"1164",3060.14233398438
"1165",9157.037109375
"1166",10831.3701171875
"1167",12358.75
"1168",36076.92578125
"1169",37352.859375
"1170",51287.640625
"1171",10894.4091796875
"1172",12270.8779296875
"1173",26907.646484375
"1174",27340.943359375
"1175",5462.53369140625
"1176",16265.0791015625
"1177",125115.3046875
"1178",4268.07177734375
"1179",30618.7734375
"1180",8587.2421875
"1181",35046.71484375
"1182",58832.66796875
"1183",6632.365234375
"1184",35891.99609375
"1185",1788.23474121094
"1186",24930.9765625
"1187",771.286193847656
"1188",1512.49377441406
"1189",11793.3662109375
"1190",7200.51611328125
"1191",14856.1044921875
"1192",14023.5078125
"1193",2125.61474609375
"1194",28750.533203125
"1195",55944.15234375
"1196",2840.33056640625
"1197",2657.75390625
"1198",2297.5
"1199",2354.32641601562
"1200",22676.98046875
"1201",23109.466796875
"1202",2058.80102539062
"1203",3069.45263671875
"1204",994.001525878906
"1205",2629.93310546875
"1206",1963.74621582031
"1207",3353.19555664062
"1208",43379.75390625
"1209",27190.75390625
"1210",1512.37097167969
"1211",16021.154296875
"1212",6679.61279296875
"1213",73456.8515625
"1214",20410.435546875
"1215",1497.45642089844
"1216",55516.16796875
"1217",13856.6591796875
"1218",10719.0126953125
"1219",4710.73681640625
"1220",816.609252929688
"1221",7878.7841796875
"1222",67377.921875
"1223",988.982238769531
"1224",3894.27416992188
"1225",1932.26806640625
"1226",2831.83935546875
"1227",41275.0390625
"1228",7883.18505859375
"1229",45.2059097290039
"1230",1036.44458007812
"1231",15099.7080078125
"1232",333.3974609375
"1233",414.990325927734
"1234",67054.21875
"1235",51244.96484375
"1236",82160.1796875
"1237",334178.21875
"1238",106286.9921875
"1239",190415.171875
"1240",11223.3076171875
"1241",131287.125
"1242",5282.904296875
"1243",2866.30688476562
"1244",8693.9365234375
"1245",11295.90625
"1246",23633.32421875
"1247",13195.2431640625
"1248",3038.46142578125
"1249",17856.08984375
"1250",340.855407714844
"1251",19790.607421875
"1252",4721.255859375
"1253",3077.62426757812
"1254",1672.01403808594
"1255",7076.31640625
"1256",6921.23583984375
"1257",5568.3369140625
"1258",1985.3388671875
"1259",857.573181152344
"1260",11998.34765625
"1261",9872.177734375
"1262",29754.033203125
"1263",233.614807128906
"1264",2599.97119140625
"1265",438.770660400391
"1266",8327.1162109375
"1267",2269.71362304688
"1268",6755.30810546875
"1269",11220.615234375
"1270",10737.9833984375
"1271",469.392333984375
"1272",19967.62890625
"1273",11885.0986328125
"1274",10656.8818359375
"1275",30331.923828125
"1276",3494.41064453125
"1277",5719.32373046875
"1278",5915.91259765625
"1279",3900.689453125
"1280",6253.5400390625
"1281",5118.91455078125
"1282",11426.5859375
"1283",2153.9501953125
"1284",3011.50512695312
"1285",23506.609375
"1286",61608.8515625
"1287",25690.427734375
"1288",43728.015625
"1289",46579.71875
"1290",166363.453125
"1291",44036.5859375
"1292",46344.8984375
"1293",111568.890625
"1294",17361.998046875
"1295",35121.4921875
"1296",61230.58984375
"1297",31716.416015625
"1298",45450.75
"1299",24778.060546875
"1300",22931.09375
"1301",47504.7734375
"1302",2261.0712890625
"1303",30805.7265625
"1304",28201.509765625
"1305",7947.22314453125
"1306",29686.423828125
"1307",12872.6787109375
"1308",16564.841796875
"1309",35872.63671875
"1310",1107.60827636719
"1311",28858.828125
"1312",6668.96240234375
"1313",3716.6650390625
